District,Chiefdom,Facility
Bonthe District,Bendu-Cha Chiefdom,Bendu (Bendu-Cha) CHC
Bonthe District,Bendu-Cha Chiefdom,Foya (Bendu-Cha) CHP
Bonthe District,Bendu-Cha Chiefdom,Giebina CHP
Bonthe District,Bendu-Cha Chiefdom,Mindohun MCHP
Bonthe District,Bendu-Cha Chiefdom,Mo-Davies CHP
Bonthe District,Bendu-Cha Chiefdom,Taigbe CHP
Bonthe District,Bum Chiefdom,Karlleh MCHP
Bonthe District,Bum Chiefdom,Madina (Bum) CHC
Bonthe District,Bum Chiefdom,Mammy CHP
Bonthe District,Bum Chiefdom,Ngepehun CHP
Bonthe District,Bum Chiefdom,Ngessehun MCHP
Bonthe District,Bum Chiefdom,Sogballeh MCHP
Bonthe District,Bum Chiefdom,Tassor CHP
Bonthe District,Bum Chiefdom,Torma Bum CHP
Bonthe District,Dema Chiefdom,Bumpetoke (Dema) CHP
Bonthe District,Dema Chiefdom,Mbaoma (Dema) CHP
Bonthe District,Dema Chiefdom,Tissana (Dema) CHC
Bonthe District,Dema Chiefdom,Tombay CHP
Bonthe District,Imperi Chiefdom,Gaindema CHP
Bonthe District,Imperi Chiefdom,Gbamgbaia CHC
Bonthe District,Imperi Chiefdom,Gbamgbama CHC
Bonthe District,Imperi Chiefdom,Jangallor CHP
Bonthe District,Imperi Chiefdom,Junctionla MCHP
Bonthe District,Imperi Chiefdom,Mo-Kepay CHP
Bonthe District,Imperi Chiefdom,Mogbwemo CHC
Bonthe District,Imperi Chiefdom,Mokaba MCHP
Bonthe District,Imperi Chiefdom,Moriba Town (Imperri) CHC
Bonthe District,Imperi Chiefdom,Mount Hope Hospital
Bonthe District,Imperi Chiefdom,Sierra Rutile Hospital
Bonthe District,Imperi Chiefdom,Victoria MCHP
Bonthe District,Imperi Chiefdom,Yargoi CHP
Bonthe District,Jong Chiefdom,Barbar MCHP
Bonthe District,Jong Chiefdom,Gambia CHC
Bonthe District,Jong Chiefdom,Gbaninga CHP
Bonthe District,Jong Chiefdom,Henry Kormoi Community Hospital
Bonthe District,Jong Chiefdom,Jorma CHP
Bonthe District,Jong Chiefdom,Kabati CHP
Bonthe District,Jong Chiefdom,Komende (Jong) MCHP
Bonthe District,Jong Chiefdom,Mattru CHC
Bonthe District,Jong Chiefdom,Mattru UBC Hospital
Bonthe District,Jong Chiefdom,Mo-Savie MCHP
Bonthe District,Jong Chiefdom,Mogbwe MCHP
Bonthe District,Jong Chiefdom,Mongerewa MCHP
Bonthe District,Jong Chiefdom,Moyowa MCHP
Bonthe District,Jong Chiefdom,Red Cross (Mattru) CHP
Bonthe District,Jong Chiefdom,Segbwema (Jong) CHP
Bonthe District,Jong Chiefdom,Semabu (Jong) CHP
Bonthe District,Jong Chiefdom,Tissana (Jong) CHP
Bonthe District,Kpanda Kemoh Chiefdom,Gambia Popayma MCHP
Bonthe District,Kpanda Kemoh Chiefdom,Gbongeh MCHP
Bonthe District,Kpanda Kemoh Chiefdom,Lawana (Kpanda Kemo) MCHP
Bonthe District,Kpanda Kemoh Chiefdom,Mottuo CHC
Bonthe District,Kpanda Kemoh Chiefdom,Senjehun MCHP
Bonthe District,Kwamebai Krim Chiefdom,Benduma CHC
Bonthe District,Kwamebai Krim Chiefdom,Hoya CHP
Bonthe District,Kwamebai Krim Chiefdom,Massah Kpoanguma CHP
Bonthe District,Kwamebai Krim Chiefdom,Mosenteh CHP
Bonthe District,Kwamebai Krim Chiefdom,Tei CHP
Bonthe District,Kwamebai Krim Chiefdom,Topain CHP
Bonthe District,Nongoba Bullom Chiefdom,Batahall CHP
Bonthe District,Nongoba Bullom Chiefdom,Gbamani CHP
Bonthe District,Nongoba Bullom Chiefdom,Gbap CHC
Bonthe District,Nongoba Bullom Chiefdom,Maamu MCHP
Bonthe District,Nongoba Bullom Chiefdom,Mbaoma Kpengeh CHC
Bonthe District,Nongoba Bullom Chiefdom,Mbaoma Kpengeh CHP
Bonthe District,Nongoba Bullom Chiefdom,Minah CHP
Bonthe District,Nongoba Bullom Chiefdom,Ngaringa MCHP
Bonthe District,Nongoba Bullom Chiefdom,Sembehun (Nongoba Bullom) MCHP
Bonthe District,Nongoba Bullom Chiefdom,Subu MCHP
Bonthe District,Nongoba Bullom Chiefdom,Torma Gbagba CHP
Bonthe District,Nongoba Bullom Chiefdom,Waiba MCHP
Bonthe District,Sittia Chiefdom,Delken CHC
Bonthe District,Sittia Chiefdom,Delken MCHP
Bonthe District,Sittia Chiefdom,Mania MCHP
Bonthe District,Sittia Chiefdom,Mbokie MCHP
Bonthe District,Sittia Chiefdom,Mo-Sandi CHP
Bonthe District,Sittia Chiefdom,Ngepay CHP
Bonthe District,Sittia Chiefdom,Sanhaya CHP
Bonthe District,Sittia Chiefdom,Yoni (Sittia) CHC
Bonthe District,Sogbini Chiefdom,Grima (Sogbini) CHP
Bonthe District,Sogbini Chiefdom,Kanga (Sogbini) MCHP
Bonthe District,Sogbini Chiefdom,Kpetema (Sogbini) MCHP
Bonthe District,Sogbini Chiefdom,Mandu CHP
Bonthe District,Sogbini Chiefdom,Ngueh MCHP
Bonthe District,Sogbini Chiefdom,Tihun CHC
Bonthe District,Yawbeko Chiefdom,Mobefa MCHP
Bonthe District,Yawbeko Chiefdom,Sargor CHP
Bonthe District,Yawbeko Chiefdom,Senehun Gbloh MCHP
Bonthe District,Yawbeko Chiefdom,Talia (Yawbeko) CHC
Bonthe District,Yawbeko Chiefdom,Tuakan CHP
Bonthe District,Bonthe Town,Bonthe Government Hospital
Bonthe District,Bonthe Town,Bonthe Under Fives Clinic
Bonthe District,Bonthe Town,Red Cross (Bonthe) CHP
Bonthe District,Bonthe Town,St Joseph's Clinic
Bonthe District,Bonthe Town,York Island CHP
Koinadugu District,Diang Chiefdom,Badala MCHP
Koinadugu District,Diang Chiefdom,Dalakuru CHP
Koinadugu District,Diang Chiefdom,Diang Kamaron MCHP
Koinadugu District,Diang Chiefdom,Diang Sokurala MCHP
Koinadugu District,Diang Chiefdom,Foria CHP
Koinadugu District,Diang Chiefdom,Kania (Diang) CHP
Koinadugu District,Diang Chiefdom,Kondembaia CHC
Koinadugu District,Diang Chiefdom,Lengekoro CHP
Koinadugu District,Diang Chiefdom,Nyawulia MCHP
Koinadugu District,Diang Chiefdom,Solia MCHP
Koinadugu District,Diang Chiefdom,Waia MCHP
Koinadugu District,Diang Chiefdom,Yara CHP
Koinadugu District,Diang Chiefdom,Yiben MCHP
Koinadugu District,Gbonkorbor Kayaka Chiefdom,Kakarima MCHP
Koinadugu District,Gbonkorbor Kayaka Chiefdom,Kasassie CHP
Koinadugu District,Gbonkorbor Kayaka Chiefdom,Madina Gbonkorbor CHP
Koinadugu District,Gbonkorbor Kayaka Chiefdom,Sawuria CHP
Koinadugu District,Kallian Chiefdom,Alkalia CHP
Koinadugu District,Kallian Chiefdom,Kandeya MCHP
Koinadugu District,Kallian Chiefdom,Kumala CHP
Koinadugu District,Kallian Chiefdom,Sesawulia MCHP
Koinadugu District,Kallian Chiefdom,Tukolie CHP
Koinadugu District,Kallian Chiefdom,Worombalia MCHP
Koinadugu District,Kamukeh Chiefdom,Kambalia MCHP
Koinadugu District,Kamukeh Chiefdom,Kambia MCHP
Koinadugu District,Kamukeh Chiefdom,Mandia MCHP
Koinadugu District,Kamukeh Chiefdom,Thellia CHP
Koinadugu District,Kasunko Kakellay Chiefdom,Fadugu CHC
Koinadugu District,Kasunko Kakellay Chiefdom,Kagbasia MCHP
Koinadugu District,Kasunko Kakellay Chiefdom,Kassasie Kakeleh MCHP
Koinadugu District,Kasunko Kakellay Chiefdom,Madina Kamandie MCHP
Koinadugu District,Kasunko Kakellay Chiefdom,Sawuria CHP
Koinadugu District,Nieni Chiefdom,Fankoya CHP
Koinadugu District,Nieni Chiefdom,Kaya MCHP
Koinadugu District,Nieni Chiefdom,Krutor CHP
Koinadugu District,Nieni Chiefdom,Mangae MCHP
Koinadugu District,Nieni Chiefdom,Safinia MCHP
Koinadugu District,Nieni Chiefdom,Sumbaria CHP
Koinadugu District,Nieni Chiefdom,Yiffin CHC
Koinadugu District,Sengbeh Chiefdom,Arab (Sengbeh) Clinic
Koinadugu District,Sengbeh Chiefdom,Bambukoro CHP
Koinadugu District,Sengbeh Chiefdom,Bambukura MCHP
Koinadugu District,Sengbeh Chiefdom,Gbenikoro MCHP
Koinadugu District,Sengbeh Chiefdom,Koinadugu 2 CHC
Koinadugu District,Sengbeh Chiefdom,Kondeya (Sengbeh) MCHP
Koinadugu District,Sengbeh Chiefdom,Momorimaria MCHP
Koinadugu District,Sengbeh Chiefdom,Nasarah Clinic
Koinadugu District,Sengbeh Chiefdom,Red Cross (Sengbeh) Clinic
Koinadugu District,Thamiso Chiefdom,Kamathoi MCHP
Koinadugu District,Thamiso Chiefdom,Karasa MCHP
Koinadugu District,Thamiso Chiefdom,Kasanikoro CHP
Koinadugu District,Wara Wara Bafodia Chiefdom,Bafodia CHC
Koinadugu District,Wara Wara Bafodia Chiefdom,Kadanso MCHP
Koinadugu District,Wara Wara Bafodia Chiefdom,Kakoya MCHP
Koinadugu District,Wara Wara Bafodia Chiefdom,Karpakie MCHP
Koinadugu District,Wara Wara Bafodia Chiefdom,Sakuta MCHP
Koinadugu District,Wara Wara Bafodia Chiefdom,Samamaia MCHP
Koinadugu District,Wara Wara Yagala Chiefdom,Arab (Wara Wara Yagala) Clinic
Koinadugu District,Wara Wara Yagala Chiefdom,Heremakono CHP
Koinadugu District,Wara Wara Yagala Chiefdom,Kabala Government Hospital
Koinadugu District,Wara Wara Yagala Chiefdom,Kabala Static CHC
Koinadugu District,Wara Wara Yagala Chiefdom,Kayako MCHP
Koinadugu District,Wara Wara Yagala Chiefdom,Konkoba MCHP
Koinadugu District,Wara Wara Yagala Chiefdom,Mamudia Koro MCHP
Koinadugu District,Wara Wara Yagala Chiefdom,Marie Stopes (Kabala) Clinic
Koinadugu District,Wara Wara Yagala Chiefdom,Sarakoh MCHP
Koinadugu District,Wara Wara Yagala Chiefdom,Senekedugu CHP
Koinadugu District,Wara Wara Yagala Chiefdom,Wara Wara Faith Clinic
Koinadugu District,Wara Wara Yagala Chiefdom,Yataya CHP
Port Loko District,Port Loko City,Arab (Port Loko) Clinic
Port Loko District,Port Loko City,Ernest Bai Koroma University (EBK-PL) Clinic
Port Loko District,Port Loko City,Port Loko Government Hospital
Port Loko District,Port Loko City,Port Loko Under Fives CHP
Port Loko District,Bake-Loko Chiefdom,Arab (Bake-Loko) Clinic
Port Loko District,Bake-Loko Chiefdom,Ernest Bai Koroma University (EBK-PL) Clinic
Port Loko District,Bake-Loko Chiefdom,Gbonkoh Kereneh MCHP
Port Loko District,Bake-Loko Chiefdom,Kamaranka Under Fives CHP
Port Loko District,Bake-Loko Chiefdom,Malal CHP
Port Loko District,Bake-Loko Chiefdom,Sierra Leone Church Maforki CHP
Port Loko District,Bake-Loko Chiefdom,Under Fives Clinic Port Loko
Port Loko District,Bureh Chiefdom,Bureh MCHP
Port Loko District,Bureh Chiefdom,Kalangba (Bureh) MCHP
Port Loko District,Bureh Chiefdom,Mange CHC
Port Loko District,Bureh Chiefdom,Masseseh MCHP
Port Loko District,Kaffu Bullom Chiefdom,Al-Amin Clinic
Port Loko District,Kaffu Bullom Chiefdom,Alimamy Amara Clinic
Port Loko District,Kaffu Bullom Chiefdom,Arab (Lungi) Clinic
Port Loko District,Kaffu Bullom Chiefdom,Bai Bureh Memorial Hospital
Port Loko District,Kaffu Bullom Chiefdom,Conakry Dee CHC
Port Loko District,Kaffu Bullom Chiefdom,Direct Aid Orphanage (Port Loko) Clinic
Port Loko District,Kaffu Bullom Chiefdom,Evans CHC
Port Loko District,Kaffu Bullom Chiefdom,Gbaneh Bana CHP
Port Loko District,Kaffu Bullom Chiefdom,Gbaneh Lol MCHP
Port Loko District,Kaffu Bullom Chiefdom,Grace Community Clinic
Port Loko District,Kaffu Bullom Chiefdom,Kasongha CHP
Port Loko District,Kaffu Bullom Chiefdom,Long Life Centre Clinic
Port Loko District,Kaffu Bullom Chiefdom,Lungi Airport Centre Clinic
Port Loko District,Kaffu Bullom Chiefdom,Lungi Government Hospital
Port Loko District,Kaffu Bullom Chiefdom,Lungi Under Fives CHP
Port Loko District,Kaffu Bullom Chiefdom,Mahera CHC
Port Loko District,Kaffu Bullom Chiefdom,Mamankie MCHP
Port Loko District,Kaffu Bullom Chiefdom,Mkamsondo MCHP
Port Loko District,Kaffu Bullom Chiefdom,Modia CHC
Port Loko District,Kaffu Bullom Chiefdom,Modia General Clinic
Port Loko District,Kaffu Bullom Chiefdom,St John of God CHP
Port Loko District,Kaffu Bullom Chiefdom,Tagrin CHC
Port Loko District,Kaffu Bullom Chiefdom,Yongoro CHC
Port Loko District,Kamasondo Chiefdom,Benkia MCHP
Port Loko District,Kamasondo Chiefdom,Bundulai MCHP
Port Loko District,Kamasondo Chiefdom,Katongha MCHP
Port Loko District,Kamasondo Chiefdom,Konta Wallah CHC
Port Loko District,Kamasondo Chiefdom,Malap CHP
Port Loko District,Kamasondo Chiefdom,Mana 2 CHP
Port Loko District,Kamasondo Chiefdom,Mapillah MCHP
Port Loko District,Kamasondo Chiefdom,Pepel CHC
Port Loko District,Kasseh Chiefdom,Barmoi CHP
Port Loko District,Kasseh Chiefdom,Kagbantama CHP
Port Loko District,Kasseh Chiefdom,Kawengha MCHP
Port Loko District,Kasseh Chiefdom,Rogballan (Kasseh) MCHP
Port Loko District,Kasseh Chiefdom,Romeni MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Kissy Koya MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Komrabai Ngolla CHP
Port Loko District,Koya (Port Loko) Chiefdom,Kurankoh CHP
Port Loko District,Koya (Port Loko) Chiefdom,M'baimba Adama MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Mabora MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Magbeni MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Makalie MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Makarankay CHP
Port Loko District,Koya (Port Loko) Chiefdom,Makiteh (Koya) CHP
Port Loko District,Koya (Port Loko) Chiefdom,Malenki MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Masiaka (Koya) CHC
Port Loko District,Koya (Port Loko) Chiefdom,Masumana CHP
Port Loko District,Koya (Port Loko) Chiefdom,Mawoma MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Mile 38 CHC
Port Loko District,Koya (Port Loko) Chiefdom,Rofoindu CHP
Port Loko District,Koya (Port Loko) Chiefdom,Rokon MCHP
Port Loko District,Koya (Port Loko) Chiefdom,Sumbuya (Koya) CHP
Port Loko District,Koya (Port Loko) Chiefdom,Warima (Koya) MCHP
Port Loko District,Lokomasama Chiefdom,Babara CHC
Port Loko District,Lokomasama Chiefdom,Bailor CHP
Port Loko District,Lokomasama Chiefdom,Gbainty Wallah CHP
Port Loko District,Lokomasama Chiefdom,Kalangba (Lokomasama) MCHP
Port Loko District,Lokomasama Chiefdom,Kargbulor CHP
Port Loko District,Lokomasama Chiefdom,Love Bridge Hospital
Port Loko District,Lokomasama Chiefdom,Masulamani CHP
Port Loko District,Lokomasama Chiefdom,Mathen MCHP
Port Loko District,Lokomasama Chiefdom,Menika CHP
Port Loko District,Lokomasama Chiefdom,Musaia (Lokomasama) CHP
Port Loko District,Lokomasama Chiefdom,Petifu Junction CHC
Port Loko District,Maconteh Chiefdom,Mabain MCHP
Port Loko District,Maconteh Chiefdom,Minthomore CHP
Port Loko District,Maforki Chiefdom,Mabonie CHP
Port Loko District,Maforki Chiefdom,Mafoimara CHP
Port Loko District,Maforki Chiefdom,Maforay (Maforki) MCHP
Port Loko District,Maforki Chiefdom,Magbengbenra MCHP
Port Loko District,Maforki Chiefdom,Makaba MCHP
Port Loko District,Maforki Chiefdom,Mapawn MCHP
Port Loko District,Maforki Chiefdom,Maronko MCHP
Port Loko District,Maforki Chiefdom,New Maforki CHP
Port Loko District,Maforki Chiefdom,Petifu (Maforki) MCHP
Port Loko District,Maforki Chiefdom,Rogbere Junction CHC
Port Loko District,Makama Chiefdom,Kambia Makama CHP
Port Loko District,Makama Chiefdom,Malekuray CHC
Port Loko District,Marampa Chiefdom,Arab (Lunsar) Clinic
Port Loko District,Marampa Chiefdom,Baptist Eye Hospital
Port Loko District,Marampa Chiefdom,Lunsar CHC
Port Loko District,Marampa Chiefdom,Magbele MCHP
Port Loko District,Marampa Chiefdom,Magbill CHP
Port Loko District,Marampa Chiefdom,Makabo MCHP
Port Loko District,Marampa Chiefdom,Mamusa MCHP
Port Loko District,Marampa Chiefdom,Mange Acre CHC
Port Loko District,Marampa Chiefdom,Pincer's Lunsar Clinic
Port Loko District,Marampa Chiefdom,Poor Man's Clinic
Port Loko District,Marampa Chiefdom,Rolembray MCHP
Port Loko District,Marampa Chiefdom,St John of God Hospital
Port Loko District,Marampa Chiefdom,St John of God Under Fives Clinic
Port Loko District,Masimera Chiefdom,Katick CHP
Port Loko District,Masimera Chiefdom,Konta Line CHC
Port Loko District,Masimera Chiefdom,Mamaligie MCHP
Port Loko District,Masimera Chiefdom,Masimera CHC
Port Loko District,Masimera Chiefdom,Mathineh CHP
Port Loko District,Masimera Chiefdom,Mayola Lal Ratun MCHP
Port Loko District,Masimera Chiefdom,Mayombo MCHP
Port Loko District,Masimera Chiefdom,Nonkoba CHP
Port Loko District,Masimera Chiefdom,Rokassa CHC
Port Loko District,Masimera Chiefdom,Rokel (Masimera) MCHP
Port Loko District,Masimera Chiefdom,Rotheren MCHP
Port Loko District,Masimera Chiefdom,Rothuma MCHP
Port Loko District,Masimera Chiefdom,Royeiben CHP
Port Loko District,Tainkatopa Chiefdom,Asheea MCHP
Port Loko District,Tainkatopa Chiefdom,Robaka MCHP
Port Loko District,Tainkatopa Chiefdom,Rogbaneh MCHP
Pujehun District,Barri Chiefdom,Bandasuma (Barri) CHC
Pujehun District,Barri Chiefdom,Jeoma Barri MCHP
Pujehun District,Barri Chiefdom,Konia (Barri) MCHP
Pujehun District,Barri Chiefdom,Kundorwahun CHP
Pujehun District,Barri Chiefdom,Njaluahun (Barri) CHP
Pujehun District,Barri Chiefdom,Potoru CHC
Pujehun District,Barri Chiefdom,Saahun (Barri) MCHP
Pujehun District,Barri Chiefdom,Tambeiyama MCHP
Pujehun District,Barri Chiefdom,Taninahun (Barri) MCHP
Pujehun District,Barri Chiefdom,Vaama (Barri) CHP
Pujehun District,Barri Chiefdom,Waiima (Barri) MCHP
Pujehun District,Galliness Chiefdom,Bandama (Galliness) MCHP
Pujehun District,Galliness Chiefdom,Blama Massaquoi CHC
Pujehun District,Galliness Chiefdom,Fonikoh MCHP
Pujehun District,Galliness Chiefdom,Funyehun CHP
Pujehun District,Galliness Chiefdom,Kpetema (Galliness) MCHP
Pujehun District,Galliness Chiefdom,Kpowubu MCHP
Pujehun District,Galliness Chiefdom,Makorma CHP
Pujehun District,Kabonde Chiefdom,Pehala CHC
Pujehun District,Kpaka Chiefdom,Liya MCHP
Pujehun District,Kpaka Chiefdom,Massam CHC
Pujehun District,Kpaka Chiefdom,Saahun (Kpaka) MCHP
Pujehun District,Kpaka Chiefdom,Semabu (Kpaka) MCHP
Pujehun District,Kpaka Chiefdom,Sumbuya Bessima CHP
Pujehun District,Kpanga Chiefdom,Basalleh MCHP
Pujehun District,Kpanga Chiefdom,Blama Puilla MCHP
Pujehun District,Kpanga Chiefdom,Bomu Samba MCHP
Pujehun District,Kpanga Chiefdom,Dandabu CHP
Pujehun District,Kpanga Chiefdom,Gbondapi CHC
Pujehun District,Kpanga Chiefdom,Gibina MCHP
Pujehun District,Kpanga Chiefdom,Mandeima MCHP
Pujehun District,Kpanga Chiefdom,Pujehun Government Hospital
Pujehun District,Kpanga Chiefdom,Pujehun Static CHC
Pujehun District,Kpanga Chiefdom,Salima Samba MCHP
Pujehun District,Kpanga Chiefdom,Sawula MCHP
Pujehun District,Kpanga Chiefdom,Sorbeh Grima MCHP
Pujehun District,Kpanga Chiefdom,Taninahun Makemuma MCHP
Pujehun District,Kpanga Chiefdom,Tongay MCHP
Pujehun District,Kpanga Chiefdom,Vawahun Kayimba MCHP
Pujehun District,Kpanga Krim Chiefdom,Bayama MCHP
Pujehun District,Kpanga Krim Chiefdom,Borborbu MCHP
Pujehun District,Kpanga Krim Chiefdom,Gobaru CHC
Pujehun District,Kpanga Krim Chiefdom,Vaama (Kpanga Krim) MCHP
Pujehun District,Makpele Chiefdom,Dumagbe MCHP
Pujehun District,Makpele Chiefdom,Gbaa (Makpele) CHP
Pujehun District,Makpele Chiefdom,Gbahama (Makpele) MCHP
Pujehun District,Makpele Chiefdom,Gissiwolo MCHP
Pujehun District,Makpele Chiefdom,Gofor CHP
Pujehun District,Makpele Chiefdom,Ndombu MCHP
Pujehun District,Makpele Chiefdom,Pewa MCHP
Pujehun District,Makpele Chiefdom,Zimmi CHC
Pujehun District,Malen Chiefdom,Bendu (Malen) MCHP
Pujehun District,Malen Chiefdom,Hongai CHP
Pujehun District,Malen Chiefdom,Jao (Malen) MCHP
Pujehun District,Malen Chiefdom,Ngandorhun MCHP
Pujehun District,Malen Chiefdom,Nianyahun MCHP
Pujehun District,Malen Chiefdom,Nyandehun (Malen) MCHP
Pujehun District,Malen Chiefdom,Sahn (Malen) CHC
Pujehun District,Malen Chiefdom,Sengema (Malen) CHP
Pujehun District,Malen Chiefdom,Taninahun (Malen) CHP
Pujehun District,Mano Sakrim Chiefdom,Bengani MCHP
Pujehun District,Mano Sakrim Chiefdom,Gombu MCHP
Pujehun District,Mano Sakrim Chiefdom,Kassay MCHP
Pujehun District,Mano Sakrim Chiefdom,Mano Gbongema CHC
Pujehun District,Mano Sakrim Chiefdom,Mende MSK MCHP
Pujehun District,Mano Sakrim Chiefdom,Nyandehun (Mano Sakrim) MCHP
Pujehun District,Mano Sakrim Chiefdom,Senbengu MCHP
Pujehun District,Peje Chiefdom,Bongay MCHP
Pujehun District,Peje Chiefdom,Bumbeh MCHP
Pujehun District,Peje Chiefdom,Futa Pejeh CHC
Pujehun District,Peje Chiefdom,Helebu Pejeh MCHP
Pujehun District,Peje Chiefdom,Pejewa (Futa Peje) MCHP
Pujehun District,Perri Chiefdom,Blama Perri MCHP
Pujehun District,Perri Chiefdom,Bomi MCHP
Pujehun District,Perri Chiefdom,Bumpeh (Perri) CHC
Pujehun District,Perri Chiefdom,Falaba CHP
Pujehun District,Perri Chiefdom,Kowama (Perri) MCHP
Pujehun District,Perri Chiefdom,Ngajubaoma/Missibu MCHP
Pujehun District,Perri Chiefdom,Saama Perri MCHP
Pujehun District,Soro Gbeima Chiefdom,Fairo CHC
Pujehun District,Soro Gbeima Chiefdom,Fanima (Soro) CHP
Pujehun District,Soro Gbeima Chiefdom,Futa Golawoma MCHP
Pujehun District,Soro Gbeima Chiefdom,Gondama Massaquoi MCHP
Pujehun District,Soro Gbeima Chiefdom,Jendema CHC
Pujehun District,Soro Gbeima Chiefdom,Koijeh MCHP
Pujehun District,Soro Gbeima Chiefdom,Malema 1 MCHP
Pujehun District,Soro Gbeima Chiefdom,Malema 2 MCHP
Pujehun District,Soro Gbeima Chiefdom,Navai MCHP
Pujehun District,Soro Gbeima Chiefdom,Sengama Soro MCHP
Pujehun District,Soro Gbeima Chiefdom,Sulima CHP
Pujehun District,Soro Gbeima Chiefdom,Tindor MCHP
Pujehun District,Soro Gbeima Chiefdom,Wai MCHP
Pujehun District,Sowa Chiefdom,Bandajuma Sowa CHC
Pujehun District,Sowa Chiefdom,Geoma Jarjoh CHP
Pujehun District,Sowa Chiefdom,Lower Komende MCHP
Pujehun District,Sowa Chiefdom,Upper Komende MCHP
Pujehun District,Sowa Chiefdom,Vaawahun Sowa MCHP
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Bangorma MCHP
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Borma (Yakemu Kpukumu) MCHP
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Karlu CHC
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Kombeima MCHP
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Kombopi MCHP
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Messima MCHP
Pujehun District,Yakemoh Kpukumu Krim Chiefdom,Saama Sowunde MCHP
